,catboost,xgboost
AGE,27.13934436500064,0.012280293740332127
CREDIT_SCORE,178.99408754543265,0.08576937764883041
VEHICLE_VALUE,20.76952637888797,0.02566646784543991
ENGINE_SIZE,27.23663328652258,0.01611771434545517
MILEAGE_K,82.27605172780785,0.060816578567028046
NCD_CAPPED,68.16261466773621,0.0826859250664711
VEHICLE_AGE,68.20733549511976,0.03769824653863907
LICENCEHELD_YEARS,140.19163786057214,0.0961318239569664
UKRESIDENCY_YEARS,55.323149211031655,0.03311598300933838
CLM_NUM_L5Y,0.6961907440203455,0.025197383016347885
DTI,21.072432430830236,0.016226278617978096
NUMBER_OF_DRIVERS,13.833403495584484,0.022592416033148766
OVERNIGHT_LOCATION,12.045793676628776,0.013340062461793423
LICENCE_TYPE,1.1423587187220074,0.01362944208085537
MONTHOFINCEPTION,7.360151891500604,0.010848013684153557
GROSSVEHICLEWEIGHT_K,53.96760573967343,0.026437927037477493
AGE_SQUARED,10.848935453042806,0.012914943508803844
AGE_X_NCD,119.53005138221334,0.20195907354354858
LOG_VEHICLE_VALUE,40.04395929250566,0.02011357992887497
EXPERIENCE_RATIO,21.479449741195456,0.01733841560781002
NCD_RATE,25.052344414119222,0.013460507616400719
RISK_AREA,83.99928779462755,0.030804263427853584
CONVICTIONS_FLAG,27.065953688486285,0.029810918495059013
COVER_TYPE,3.9057398358624833,0.015614827163517475
DD_DUQ,22.66141670503055,0.02275780588388443
CLASSOFUSEDESC,15.140149519715152,0.015479258261620998
NCDPROTECT,8.632798002747974,0.015626084059476852
CLM_GROUP,19.72174433729883,0.01428433321416378
FUEL_TYPE_CAT,0.011132273555099331,0.011281981132924557
