AGE,CREDIT_SCORE,VEHICLE_VALUE,ENGINE_SIZE,MILEAGE_K,NCD_CAPPED,VEHICLE_AGE,LICENCEHELD_YEARS,UKRESIDENCY_YEARS,CLM_NUM_L5Y,DTI,NUMBER_OF_DRIVERS,OVERNIGHT_LOCATION,LICENCE_TYPE,MONTHOFINCEPTION,GROSSVEHICLEWEIGHT_K,AGE_SQUARED,AGE_X_NCD,LOG_VEHICLE_VALUE,EXPERIENCE_RATIO,NCD_RATE,AGE_raw,CREDIT_SCORE_raw,VEHICLE_VALUE_raw,ENGINE_SIZE_raw,MILEAGE_K_raw,NCD_CAPPED_raw,VEHICLE_AGE_raw,LICENCEHELD_YEARS_raw,UKRESIDENCY_YEARS_raw,CLM_NUM_L5Y_raw,DTI_raw,NUMBER_OF_DRIVERS_raw,OVERNIGHT_LOCATION_raw,LICENCE_TYPE_raw,MONTHOFINCEPTION_raw,GROSSVEHICLEWEIGHT_K_raw,AGE_SQUARED_raw,AGE_X_NCD_raw,LOG_VEHICLE_VALUE_raw,EXPERIENCE_RATIO_raw,NCD_RATE_raw
-0.004255497,-0.0030321663,0.0015093209,-0.0061793798,0.0015497128,-0.0024517637,0.0015878439,-0.0066120075,-0.001816627,0.0054395297,-0.001883367,0.005032204,0.0034047936,-0.00019103434,-0.00039329962,-0.0016501944,-0.004264272,-0.0021720796,-0.0008404649,0.0017781013,0.005060149,-0.00031003004,-2.476696e-05,2.1053341e-07,-0.014696298,0.00017624866,-0.00072432845,0.00029866002,-0.0006955342,-0.000114971626,0.0081445845,-0.00016054175,0.008150989,0.0020653098,-0.007508739,-0.00027780712,-0.0023460218,-3.2751152e-06,-1.13494025e-05,-0.00076470856,0.0016263752,0.012062514
-0.00340092,-0.001496827,0.0005234742,-0.0011030245,0.0037153424,0.0005520593,-0.0006001387,-0.0021398154,-0.0059456164,0.005971858,-0.00061961217,0.0062015657,0.0024686032,0.0044581783,-0.00011294562,-0.0016330315,-0.0038689298,-0.00092074875,-0.0002282692,-0.00043925596,0.0032069483,-0.00024777066,-1.2226194e-05,7.30188e-08,-0.0026233017,0.00042254545,0.00016309577,-0.00011288102,-0.00022509274,-0.00037628924,0.008941636,-5.2816908e-05,0.01004508,0.0014974271,0.17523183,-7.977912e-05,-0.0023216219,-2.9714781e-06,-4.8110333e-06,-0.00020769387,-0.0004017741,0.0076448065
-0.0033460984,-0.002671586,0.0005966377,-0.0016646055,0.0030386248,-0.0009474827,-0.0016283754,-0.0023567916,-0.0025190662,0.0031390805,-0.0015525874,0.0052687437,0.0019835418,0.0029817475,0.0011752187,-0.001783047,-0.0036649385,-0.0019468906,-0.00024374941,0.0021082405,0.0037629823,-0.0002437767,-2.1821712e-05,8.32243e-08,-0.0039588986,0.00034558243,-0.00027991633,-0.00030628365,-0.00024791702,-0.00015942796,0.0047001317,-0.00013234548,0.008534128,0.0012031943,0.117199674,0.0008301156,-0.0025348936,-2.8148054e-06,-1.017276e-05,-0.00022177876,0.0019283436,0.008970295
-0.004258708,-0.0039409827,0.0012368205,-0.0029322407,0.0017380794,-0.0014196413,-0.002530606,-0.004265627,-0.0013497553,0.0037998427,-0.0041433927,0.0066795363,0.0011963319,0.0004108743,0.0028230804,-0.0011523244,-0.0035738638,-0.0029355655,-0.0010035068,0.0054109436,0.0058987956,-0.00031026397,-3.219024e-05,1.7252265e-07,-0.006973691,0.00019767156,-0.0004194069,-0.0004759856,-0.00044871238,-8.542401e-05,0.005689488,-0.00035319058,0.0108192805,0.0007256816,0.016149702,0.0019940825,-0.001638218,-2.7448568e-06,-1.5338717e-05,-0.0009130545,0.0049492256,0.014061702
-0.002789129,-0.0023744986,0.0007774724,-0.00011153368,0.0024346188,-0.002040673,-0.00044607662,-0.0016372667,-0.0030236142,0.0013442427,-0.0006630828,0.0050684204,0.0012691148,0.0014583503,-8.0631726e-05,-0.00132507,-0.003081839,-0.0021299012,0.00045649032,0.0018169095,0.00272593,-0.00020319925,-1.9395082e-05,1.0844872e-07,-0.00026525836,0.00027688892,-0.00060287927,-8.3903244e-05,-0.00017222833,-0.00019136006,0.0020127287,-5.652243e-05,0.008209651,0.00076983083,0.05732148,-5.6954206e-05,-0.0018838042,-2.366964e-06,-1.1129015e-05,0.000415344,0.0016618719,0.0064981426
-0.0041381074,-0.00079926755,-1.8991414e-06,-0.0040245466,0.00034603936,-0.00067336747,0.0019015203,-0.0032421965,-0.001390385,0.0033462804,-0.0016884891,0.00069714565,0.0009735117,0.00021766475,0.00019596856,-0.0022836602,-0.0031962562,-0.0012197809,-0.00183696,0.0018636312,0.0029070764,-0.00030147773,-6.5284767e-06,-2.64909e-10,-0.009571501,3.9355018e-05,-0.00019893402,0.0003576599,-0.00034105507,-8.79954e-05,0.005010371,-0.00014393,0.0011292123,0.0005905213,0.008555465,0.00013842236,-0.0032465972,-2.4548406e-06,-6.3735156e-06,-0.0016713833,0.0017046068,0.0069299643
-0.0033341984,-0.0012134411,0.00044607883,-0.0029583173,0.002591562,-0.0012544636,-1.1749158e-05,-0.0031162752,-0.0040548258,0.004293377,-0.00021770061,0.0030099514,0.0021219463,0.0019289386,-0.00054905115,-0.0020726079,-0.0034506745,-0.0010321612,-0.00023140432,-0.0020061473,0.0021285699,-0.00024290974,-9.911477e-06,6.2223016e-08,-0.0070357085,0.00029473804,-0.00037060818,-2.2099175e-06,-0.00032780907,-0.0002566239,0.006428455,-1.855721e-05,0.004875415,0.0012871489,0.075818285,-0.0003878222,-0.0029465517,-2.6502428e-06,-5.393178e-06,-0.00021054641,-0.0018349619,0.00507414
-0.0052010957,-0.0039151222,0.0025559193,-0.003917589,0.005358237,-0.0031992565,-0.00071493606,-0.005886061,-0.001951352,0.00568045,-0.001702788,0.009640394,0.0020846983,0.0032690787,0.00018899122,-0.0006891261,-0.0056368127,-0.0042295945,0.00011419598,0.0030622832,0.0070652445,-0.0003789207,-3.197901e-05,3.565222e-07,-0.009317125,0.00060939166,-0.00094516145,-0.00013447343,-0.00061917,-0.00012349818,0.008505313,-0.00014514886,0.015615175,0.0012645547,0.12849343,0.00013349393,-0.0009797057,-4.329276e-06,-2.2100188e-05,0.000103902785,0.0028009773,0.016842313
-0.0028017233,-0.0019895197,6.7718036e-05,-0.00066055596,0.0016834128,0.00020276877,-7.227465e-05,-0.001695368,-0.0035901177,0.0015981309,-0.002006522,0.0018894025,0.0014851945,-0.0009276046,-0.001083652,-0.0017280665,-0.0037626901,-0.00030174432,-0.00096380064,0.000628039,0.0018508486,-0.00020411679,-1.6250544e-05,9.44591e-09,-0.0015709874,0.00019145434,5.99043e-05,-1.3594251e-05,-0.00017834015,-0.00022721323,0.0023928746,-0.0001710397,0.0030603886,0.00090090244,-0.03646015,-0.00076543743,-0.0024567298,-2.8898821e-06,-1.5766539e-06,-0.0008769273,0.0005744482,0.004412101
-0.0029066943,-0.0019077698,-0.000280832,-0.00035029644,0.0022833538,-0.0001469797,-0.00072161166,-0.0016103794,-0.0052806777,0.0040798807,-0.0010053753,0.0023517597,0.0020061089,0.001602919,-0.0004060549,-0.0011673126,-0.0035563197,-0.0009969001,-0.0009902435,-0.0006209186,0.0012490407,-0.00021176435,-1.5582806e-05,-3.9172928e-08,-0.0008331032,0.00025968556,-4.3422446e-05,-0.00013572906,-0.0001694,-0.00033420627,0.006108788,-8.5700085e-05,0.0038092986,0.0012168832,0.06300385,-0.00028681682,-0.0016595261,-2.7313822e-06,-5.2089345e-06,-0.00090098666,-0.00056793535,0.0029774958
