fold,gini_train,gini_val,mae,ae_ratio,best_iteration
1,0.3548,0.3261,404.93,1.0045,882
2,0.3534,0.3291,411.73,1.0255,918
3,0.3494,0.3345,411.01,1.0515,703
4,0.3523,0.3353,400.53,1.0338,877
5,0.3544,0.3304,407.28,1.0045,888
