AGE,CREDIT_SCORE,VEHICLE_VALUE,ENGINE_SIZE,MILEAGE_K,NCD_CAPPED,VEHICLE_AGE,LICENCEHELD_YEARS,UKRESIDENCY_YEARS,CLM_NUM_L5Y,DTI,NUMBER_OF_DRIVERS,OVERNIGHT_LOCATION,LICENCE_TYPE,MONTHOFINCEPTION,GROSSVEHICLEWEIGHT_K,AGE_SQUARED,AGE_X_NCD,LOG_VEHICLE_VALUE,EXPERIENCE_RATIO,NCD_RATE,AGE_raw,CREDIT_SCORE_raw,VEHICLE_VALUE_raw,ENGINE_SIZE_raw,MILEAGE_K_raw,NCD_CAPPED_raw,VEHICLE_AGE_raw,LICENCEHELD_YEARS_raw,UKRESIDENCY_YEARS_raw,CLM_NUM_L5Y_raw,DTI_raw,NUMBER_OF_DRIVERS_raw,OVERNIGHT_LOCATION_raw,LICENCE_TYPE_raw,MONTHOFINCEPTION_raw,GROSSVEHICLEWEIGHT_K_raw,AGE_SQUARED_raw,AGE_X_NCD_raw,LOG_VEHICLE_VALUE_raw,EXPERIENCE_RATIO_raw,NCD_RATE_raw
0.0015055966,-0.008732453,0.0007437418,0.0027233262,0.0067960504,-0.006655698,0.006682206,-0.008450767,0.001901383,0.008671284,-0.00073963916,-0.00081000774,0.0014037564,0.0021651469,0.005606544,-0.0009635503,0.0008491941,-0.002621104,-0.00057399913,0.0029051593,0.0038653074,0.00010968875,-7.1327326e-05,1.0374367e-07,0.0064768335,0.00077291403,-0.0019663034,0.0012568665,-0.0008889581,0.00012033572,0.012983476,-6.304823e-05,-0.0013120224,0.000851503,0.08510262,0.0039601815,-0.0013698447,6.5221184e-07,-1.3695613e-05,-0.000522261,0.002657261,0.009214221
-0.0015222825,-0.006839381,0.00093120296,0.0015905456,0.0025140424,-0.0036635306,0.0016777389,-0.0019713268,-0.004598734,0.0040632514,-2.9601302e-05,0.0008749183,0.0013971454,0.0035076512,0.003196218,-0.0009893759,-0.002053325,-0.00426176,-0.00048378538,0.0012446262,0.0016723116,-0.00011090439,-5.5864573e-05,1.2989241e-07,0.0037827636,0.00028592176,-0.0010823227,0.0003155685,-0.00020736898,-0.00029104706,0.006083889,-2.5232707e-06,0.0014171622,0.00084749283,0.13787068,0.0022576482,-0.00140656,-1.577028e-06,-2.2268257e-05,-0.0004401788,0.0011384218,0.0039864997
-0.0011791787,-0.00700651,0.0008774722,0.00041671374,0.0020497662,-0.004565348,0.0016514405,-0.0020947366,-0.0023279344,0.0043568546,-0.0008763112,0.0010135984,0.0007410464,0.003784932,0.0050105634,-0.0014392688,-0.0015260848,-0.004153029,-0.00078188156,0.0021445109,0.002049326,-8.59079e-05,-5.7229696e-05,1.2239758e-07,0.0009910621,0.00023311967,-0.001348748,0.000310622,-0.00022035078,-0.00014733152,0.0065234997,-7.4698415e-05,0.0016417915,0.00044951047,0.14876941,0.0035392107,-0.0020461564,-1.1720884e-06,-2.1700123e-05,-0.0007114057,0.001961519,0.0048852367
5.1822746e-05,-0.004958416,0.0003841054,0.0008823285,0.0054584593,-0.0052312706,0.0041399556,-0.0054470804,0.00042174174,0.005094721,-0.001964611,0.0024875787,-0.0013041836,0.0025420294,0.006392221,-0.002099541,0.000451755,-0.0037802928,-0.0014653588,0.0038330904,0.004356805,3.775495e-06,-4.050071e-05,5.3578415e-08,0.0020984246,0.00062078994,-0.0015454825,0.0007786907,-0.00057299255,2.669141e-05,0.0076283035,-0.00016746714,0.0040292935,-0.00079110323,0.09991625,0.0045151445,-0.0029848416,3.4696419e-07,-1.9752528e-05,-0.0013332769,0.0035060113,0.010385864
-0.0014797789,-0.0052869986,0.00136172,0.00027820186,0.0010487535,-0.004551769,0.0018723822,-0.00067634904,-0.002807462,0.0023897043,0.00096867804,0.0023124216,0.00040930754,0.0007499743,0.002670546,-0.0021342367,-0.0018036856,-0.004525755,-0.00079557113,0.0029547699,0.0014161539,-0.00010780783,-4.31846e-05,1.8994474e-07,0.00066164206,0.00011927461,-0.0013447363,0.00035217928,-7.114691e-05,-0.00017768011,0.003578094,8.257194e-05,0.00374558,0.00024828137,0.029478265,0.0018863399,-0.0030341672,-1.3852958e-06,-2.3647666e-05,-0.00072386133,0.0027026383,0.0033758644
-0.0013564399,-0.0037527706,-0.0005360032,-0.0007965303,0.004742872,-0.005768165,0.0028472533,-0.0055643916,7.5244345e-05,0.005430105,0.0010524992,-0.002269795,0.0007129017,0.0022734927,0.0028220112,-0.0017783579,-0.00041771005,-0.003903167,-0.0015307908,0.0018419694,0.003108813,-9.882209e-05,-3.0652907e-05,-7.476646e-08,-0.0018943724,0.00053940626,-0.0017040982,0.0005355443,-0.0005853328,4.762103e-06,0.008130473,8.971701e-05,-0.003676535,0.00043243822,0.08936123,0.0019933272,-0.0025282272,-3.2081644e-07,-2.0394562e-05,-0.0013928111,0.0016847935,0.007410869
-0.0025859734,-0.0054545403,0.0007053142,-0.00016503414,0.002714636,-0.003639935,0.0018112515,-0.002362518,-0.0023792451,0.004057836,-0.00091197866,2.3338624e-05,0.0032253647,0.00090156443,0.0018186275,-0.0015579481,-0.0026544514,-0.0027900995,-6.1000523e-05,-0.00082392665,0.000111968955,-0.00018839854,-4.455309e-05,9.838346e-08,-0.0003924975,0.00030873524,-0.0010753518,0.00034068112,-0.0002485194,-0.0001505789,0.00607578,-7.7738776e-05,3.7803093e-05,0.0019564703,0.035436623,0.0012845872,-0.0022148786,-2.0387147e-06,-1.4578637e-05,-5.5502165e-05,-0.0007536207,0.00026691452
0.0016243858,-0.0069540744,0.0027109808,0.0030712467,0.011034418,-0.009195298,0.0072925864,-0.0059781587,0.001526569,0.0074161943,-0.0005548288,0.003631404,0.00059299415,0.004750422,0.009409685,-0.0028556592,0.00078757503,-0.005738348,-0.00035274588,0.0018933266,0.0015034531,0.00011834303,-5.6801397e-05,3.7815155e-07,0.007304286,0.0012549431,-0.0027165816,0.0013716739,-0.00062885805,9.661429e-05,0.011104235,-4.7294652e-05,0.005882022,0.00035970364,0.18671867,0.0066465293,-0.0040597874,6.048861e-07,-2.9983623e-05,-0.0003209507,0.0017317684,0.0035839707
-0.0024723336,-0.0038485362,0.00020469181,-0.0005164654,0.0023537346,-0.0028206434,0.0024909116,-0.0014246377,-0.0040363763,0.0022445195,-0.00027701427,0.00087218045,0.0004444163,-0.0012280885,0.0014595757,-0.0018675276,-0.0033739,-0.0027235223,-0.0013195473,0.0026748823,0.002364108,-0.00018011943,-3.1435127e-05,2.8552222e-08,-0.0012282996,0.00026768996,-0.00083330716,0.00046851943,-0.00014986134,-0.00025545628,0.0033607094,-2.3613218e-05,0.0014127276,0.00026957798,-0.04827088,0.0010309711,-0.0026549965,-2.5912773e-06,-1.4230763e-05,-0.0012006082,0.0024466335,0.0056356224
-0.0023809886,-0.0050135916,0.00019072447,8.947682e-06,0.0010373673,-0.0029503223,0.0006335971,-0.0015202685,-0.0044174152,0.003633023,-0.00058343937,0.00073003897,0.0016778983,0.0016194871,0.0014683097,-0.001403151,-0.00270724,-0.0034580482,-0.0010554725,0.00134954,0.0011564149,-0.00017346458,-4.095139e-05,2.6603933e-08,2.1280097e-05,0.00011797966,-0.0008716184,0.00011917426,-0.000159921,-0.00027957166,0.0054397094,-4.973347e-05,0.0011824918,0.0010177944,0.06365508,0.0010371403,-0.0019948091,-2.0792584e-06,-1.8068757e-05,-0.0009603362,0.0012343832,0.0027566918
