AGE,GROSSVEHICLEWEIGHT_K,MILEAGE_K,MONTHOFINCEPTION,RISK_AREA,CONVICTIONS_FLAG,CLM_NUM_L5Y,COVER_TYPE,UKRESIDENCY_YEARS,ENGINE_SIZE,FUEL_TYPE,DD_DUQ,NUMBER_OF_DRIVERS,DTI,CLASSOFUSEDESC,OVERNIGHT_LOCATION,LICENCE_TYPE,LICENCEHELD_YEARS,CREDIT_SCORE,NCD,VEHICLE_AGE,VEHICLE_VALUE,NCDPROTECT,AD_POLPREMIUM,AGG_SOURCE,ANNUAL_TOPS_PRICE,HSALE,source_file,CREDIT_SCORE_MISSING,AGE_IMPUTED,GROSSVEHICLEWEIGHT_K_IMPUTED,MILEAGE_K_IMPUTED,MONTHOFINCEPTION_IMPUTED,CLM_NUM_L5Y_IMPUTED,UKRESIDENCY_YEARS_IMPUTED,ENGINE_SIZE_IMPUTED,FUEL_TYPE_IMPUTED,NUMBER_OF_DRIVERS_IMPUTED,DTI_IMPUTED,OVERNIGHT_LOCATION_IMPUTED,LICENCE_TYPE_IMPUTED,LICENCEHELD_YEARS_IMPUTED,CREDIT_SCORE_IMPUTED,NCD_IMPUTED,VEHICLE_AGE_IMPUTED,VEHICLE_VALUE_IMPUTED,AD_POLPREMIUM_IMPUTED,ANNUAL_TOPS_PRICE_IMPUTED,HSALE_IMPUTED,RISK_AREA_IMPUTED,CONVICTIONS_FLAG_IMPUTED,NCDPROTECT_IMPUTED,AGG_SOURCE_IMPUTED,AGE_LICENCE_GAP,NCD_CAPPED,LOG_VEHICLE_VALUE,LOG_AD_POLPREMIUM,AGE_BAND,ENGINE_SIZE_BAND,VEHICLE_VALUE_BAND,VEHICLE_AGE_BAND,MILEAGE_K_BAND,CREDIT_SCORE_BAND,SPLIT
48.0,2.9,13.0,3.0,OL,N,0.0,COMP,48.0,2.4,1.0,N,1.0,29.0,1,1.0,0.0,25.0,249.0,9.0,7.0,10780.0,TRUE,703.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,9.0,9.285540604539118,6.555356891810665,41-50,2.0-2.9,10-20K,6-10,10-15,200-299,TRAIN
34.0,2.9,8.0,1.0,WM,N,0.0,COMP,34.0,2.0,1.0,N,2.0,29.0,1,4.0,0.0,17.0,400.0,4.0,10.0,7500.0,FALSE,501.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,8.922791623969637,6.2166061010848646,31-40,2.0-2.9,5-10K,6-10,5-10,400-499,TEST
59.0,2.2,50.0,2.0,SE,N,0.0,COMP,59.0,1.6,1.0,Y,1.0,19.0,A10,1.0,0.0,25.0,397.0,9.0,12.0,2860.0,FALSE,1992.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,9.0,7.95892649305011,7.596894438144544,51-60,1.5-1.9,<5K,11+,20+,300-399,TRAIN
40.0,2.6,13.0,2.0,S,N,0.0,COMP,40.0,2.0,1.0,N,2.0,4.0,A10,1.0,0.0,18.0,389.0,9.0,23.0,5000.0,TRUE,1031.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,9.0,8.517393171418904,6.93828448401696,31-40,2.0-2.9,<5K,11+,10-15,300-399,TEST
35.0,1.9,5.0,2.0,L,N,0.0,COMP,35.0,1.6,1.0,Y,1.0,16.0,2,3.0,0.0,18.0,273.0,1.0,7.0,2000.0,FALSE,971.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,7.601402334583733,6.878326468291325,31-40,1.5-1.9,<5K,6-10,<5,200-299,TRAIN
20.0,2.2,4.0,3.0,SW,N,0.0,COMP,20.0,1.9,1.0,N,2.0,17.0,2,3.0,0.0,3.0,398.0,3.0,20.0,800.0,FALSE,1175.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,6.68586094706836,7.069023426578259,17-21,1.5-1.9,<5K,11+,<5,300-399,TRAIN
39.0,2.2,2.0,3.0,SW,N,0.0,COMP,39.0,1.6,1.0,Y,1.0,0.0,2,2.0,0.0,22.0,248.0,9.0,10.0,1000.0,FALSE,731.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.0,6.90875477931522,6.594413459749778,31-40,1.5-1.9,<5K,6-10,<5,200-299,TEST
38.0,3.3,20.0,1.0,SW,N,0.0,COMP,38.0,2.0,1.0,N,2.0,21.0,4,1.0,0.0,17.0,455.0,9.0,3.0,26470.0,TRUE,1446.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,9.0,10.183805073124855,7.27655640271871,31-40,2.0-2.9,20-30K,2-3,15-20,400-499,TRAIN
20.0,1.8,3.0,3.0,Y,N,0.0,COMP,20.0,1.9,1.0,Y,1.0,29.0,3,1.0,0.0,25.0,462.0,3.0,21.0,340.0,FALSE,348.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.0,3.0,5.831882477283517,5.8522024797744745,17-21,1.5-1.9,<5K,11+,<5,400-499,TRAIN
30.0,2.8,5.0,2.0,WM,N *,0.0,COMP,9.0,2.1,1.0,N,1.0,11.0,2,1.0,0.0,13.0,414.0,7.0,11.0,2590.0,TRUE,675.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.0,7.85979918056211,6.51471269087253,26-30,2.0-2.9,<5K,11+,<5,400-499,TRAIN
42.0,2.2,4.0,2.0,S,N,0.0,COMP,42.0,2.0,1.0,N,1.0,29.0,2,1.0,0.0,14.0,314.0,6.0,6.0,9090.0,FALSE,566.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,6.0,9.115040192121858,6.338594078203183,41-50,2.0-2.9,5-10K,6-10,<5,300-399,TRAIN
55.0,2.3,6.0,3.0,WM,N,0.0,COMP,55.0,1.5,1.0,Y,1.0,11.0,A4,1.0,0.0,25.0,375.0,9.0,8.0,7440.0,FALSE,1818.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,9.0,8.914760527397261,7.505492274737424,51-60,1.5-1.9,5-10K,6-10,5-10,300-399,TRAIN
36.0,3.2,3.0,1.0,SE,N,0.0,COMP,8.0,2.4,1.0,N,1.0,9.0,0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,FALSE,486.0,0,0.0,0.0,all_frames_combined_net_1.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0.0,0.0,6.186208623900494,31-40,2.0-2.9,<5K,0-1,<5,0-199,TRAIN
31.0,2.8,35.0,3.0,S,N,0.0,COMP,31.0,1.5,1.0,N,1.0,29.0,1,2.0,0.0,17.0,415.0,9.0,7.0,17495.0,FALSE,564.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0,9.0,9.769727562356604,6.335054251498059,31-40,1.5-1.9,10-20K,6-10,20+,400-499,TRAIN
58.0,2.2,10.0,1.0,EM,N,1.0,COMP,58.0,1.9,1.0,Y,2.0,1.0,1,1.0,0.0,39.0,349.0,0.0,16.0,2500.0,FALSE,1726.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,7.824445930877619,7.453561871643373,51-60,1.5-1.9,<5K,11+,5-10,300-399,TEST
35.0,3.5,8.0,3.0,WM,N,0.0,COMP,35.0,2.4,1.0,N,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,FALSE,816.0,0,0.0,0.0,all_frames_combined_net_1.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0.0,0.0,6.704414354964107,31-40,2.0-2.9,<5K,0-1,5-10,0-199,TEST
60.0,2.8,8.5,3.0,SE,N,0.0,COMP,60.0,1.6,1.0,N,2.0,29.0,1,1.0,0.0,18.0,446.0,9.0,14.0,3000.0,TRUE,535.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,9.0,8.006700845440367,6.282266746896006,51-60,1.5-1.9,<5K,11+,5-10,400-499,TRAIN
31.0,2.2,5.0,2.0,NW,N,0.0,COMP,31.0,1.6,1.0,N,1.0,1.0,1,1.0,0.0,25.0,448.0,8.0,9.0,8340.0,TRUE,309.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.0,8.0,9.028938392241612,5.733341276897746,31-40,1.5-1.9,5-10K,6-10,<5,400-499,TRAIN
43.0,0.0,52.0,2.0,7.0,2 NL,1.0,COMP,31.0,1.6,1.0,N,1.0,11.0,9,1.0,0.0,11.0,434.0,1.0,16.0,1345.0,FALSE,801.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,1.0,7.204892510204673,6.68586094706836,41-50,1.5-1.9,<5K,11+,20+,400-499,TRAIN
30.0,2.8,3.0,1.0,WM,N,0.0,COMP,30.0,2.0,1.0,N,1.0,29.0,3,1.0,0.0,13.0,324.0,9.0,6.0,15000.0,TRUE,408.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.0,9.61587214452889,6.0112671744041615,26-30,2.0-2.9,10-20K,6-10,<5,300-399,TRAIN
58.0,2.2,5.0,1.0,WM,N,0.0,COMP,58.0,1.9,1.0,N,1.0,23.0,6,4.0,0.0,27.0,452.0,7.0,21.0,2095.0,FALSE,296.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,7.0,7.647786045440933,5.69035945432406,51-60,1.5-1.9,<5K,11+,<5,400-499,TRAIN
71.0,2.8,5.0,2.0,SE,N,0.0,COMP,71.0,2.0,1.0,N,2.0,29.0,2,1.0,0.0,27.0,452.0,7.0,21.0,2095.0,FALSE,275.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,7.0,7.647786045440933,5.616771097666572,71+,2.0-2.9,<5K,11+,<5,400-499,TRAIN
63.0,2.8,10.0,2.0,SW,N,0.0,COMP,62.0,2.2,1.0,N,2.0,23.0,6,4.0,0.0,47.0,453.0,9.0,10.0,16000.0,TRUE,261.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,9.0,9.680406499268875,5.564520407322694,61-70,2.0-2.9,10-20K,6-10,5-10,400-499,TRAIN
32.0,2.0,20.5,1.0,EA,N,0.0,COMP,32.0,1.5,1.0,N,2.0,0.0,1,1.0,0.0,29.0,452.0,9.0,12.0,3195.0,TRUE,237.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.0,9.0,8.069655306886165,5.4680601411351315,31-40,1.5-1.9,<5K,11+,20+,400-499,TRAIN
55.0,2.9,10.0,3.0,SE,N,0.0,COMP,55.0,2.0,1.0,N,1.0,23.0,4,1.0,0.0,12.0,375.0,8.0,14.0,2900.0,FALSE,650.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,8.0,7.972810784121404,6.476972362889683,51-60,2.0-2.9,<5K,11+,5-10,300-399,TRAIN
23.0,2.8,4.0,1.0,SW,N,0.0,COMP,23.0,2.0,1.0,Y,1.0,29.0,1,1.0,0.0,20.0,298.0,9.0,15.0,3000.0,FALSE,444.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.0,9.0,8.006700845440367,6.095824562432225,22-25,2.0-2.9,<5K,11+,<5,200-299,TRAIN
43.0,2.8,2.7,5.0,1 HL,N,0.0,COMP,61.0,1.6,1.0,N,1.0,29.0,3,1.0,0.0,4.0,140.0,2.0,12.0,4330.0,FALSE,1507.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,2.0,8.373553741214627,7.317876198626496,41-50,1.5-1.9,<5K,11+,<5,0-199,TRAIN
28.0,2.7,5.0,1.0,SE,N,0.0,COMP,28.0,2.0,1.0,N,1.0,29.0,3,4.0,0.0,28.0,334.0,9.0,17.0,1290.0,FALSE,545.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.0,9.0,7.1631723908466425,6.300785794663244,26-30,2.0-2.9,<5K,11+,<5,300-399,TRAIN
61.0,2.7,5.0,2.0,Y,N,0.0,COMP,28.0,2.2,1.0,Y,1.0,28.0,1,1.0,0.0,9.0,252.0,9.0,10.0,4690.0,FALSE,1055.0,0,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,9.0,8.453401058328458,6.961296045910167,61-70,2.0-2.9,<5K,6-10,<5,200-299,TRAIN
45.0,3.0,10.0,1.0,S,N,0.0,COMP,45.0,2.0,1.0,Y,1.0,9.0,5.0,4.0,0.0,20.0,271.0,5.0,6.0,9395.0,FALSE,594.0,CON,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,5.0,9.148039345778804,6.386879319362645,41-50,2.0-2.9,5-10K,6-10,5-10,200-299,TRAIN
48.0,2.2,20.0,2.0,SE,Y,0.0,COMP,38.0,2.0,1.0,N,2.0,20.0,8.0,1.0,0.0,19.0,469.0,9.0,13.0,6000.0,TRUE,1439.0,CON,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,9.0,8.699681400989514,7.271703706887368,41-50,2.0-2.9,5-10K,11+,15-20,400-499,TEST
35.0,2.0,15.0,1.0,SE,Y,0.0,COMP,35.0,1.6,1.0,N,1.0,23.0,5.0,1.0,0.0,17.0,339.0,9.0,11.0,4995.0,TRUE,630.0,CON,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,9.0,8.516392871245468,6.4457198193855785,31-40,1.5-1.9,<5K,11+,10-15,300-399,TRAIN
25.0,2.4,8.0,3.0,SE,N,0.0,COMP,25.0,1.5,1.0,Y,1.0,12.0,A4,2.0,0.0,6.0,246.0,5.0,1.0,13120.0,FALSE,1271.0,0CO,0.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,5.0,9.481969279105716,7.147559271189454,22-25,1.5-1.9,10-20K,0-1,5-10,200-299,TRAIN
40.0,3.5,7.0,3.0,EA,N,0.0,COMP,40.0,2.0,1.0,Y,1.0,29.0,1,1.0,0.0,21.0,460.0,9.0,7.0,11000.0,TRUE,309.0,CTM,311.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,9.0,9.305741456739435,5.733341276897746,31-40,2.0-2.9,10-20K,6-10,5-10,400-499,TRAIN
52.0,2.8,3.0,2.0,WH,N,0.0,COMP,52.0,2.0,1.0,N,1.0,8.0,A4,1.0,0.0,25.0,433.0,1.0,15.0,1440.0,FALSE,603.0,0CO,341.0,0.0,all_frames_combined_net_1.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1.0,7.273092595999522,6.401917196727186,51-60,2.0-2.9,<5K,11+,<5,400-499,TRAIN
43.0,2.8,2.4,7.0,1 WN,N,0.0,COMP,35.0,1.6,1.0,N,1.0,10.0,8,4.0,0.0,2.0,539.0,1.0,10.0,4500.0,FALSE,1435.0,CON,0.0,0.0,all_frames_combined_net_1.csv,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,1.0,8.412054873292933,7.268920128193722,41-50,1.5-1.9,<5K,6-10,<5,500+,TRAIN
